1	1	1	sup
2	3	1	er
3	1	1	troup
4	3	1	er
5	0	1	beams
6	0	1	are
7	1	1	gon
8	3	1	na
9	0	1	blind
11	0	1	me
12	0	1	but
13	0	1	i
14	0	1	wont
15	0	1	feel
16	0	1	blue
17	0	1	like
18	0	1	i
19	1	1	al
20	3	1	ways
21	0	1	do
24	0	1	cause
25	1	1	some
26	3	1	where
27	0	1	in
28	0	1	the
29	0	1	crowd
31	0	1	theres
32	0	1	you
82	0	1	i
83	0	1	was
84	0	1	sick
85	0	1	and
86	0	1	tired
87	0	1	of
88	1	1	ev
89	2	1	ry
90	3	1	thing
91	0	1	when
92	0	1	i
93	0	1	called
95	0	1	you
96	0	1	last
97	0	1	night
98	0	1	from
99	0	1	glas
101	0	1	gow
102	0	1	all
103	0	1	i
104	0	1	do
105	0	1	is
106	0	1	eat
107	0	1	and
108	0	1	sleep
109	0	1	and
110	0	1	sing
111	1	1	wish
112	3	1	ing
113	1	1	ev
115	3	1	ry
116	0	1	show
117	0	1	was
118	0	1	the
119	0	1	last
121	0	1	show
122	0	1	so
123	1	1	i
124	2	1	ma
125	3	1	gine
126	0	1	i
127	0	1	was
128	0	1	glad
129	0	1	to
130	0	1	hear
131	0	1	youre
132	1	1	com
133	3	1	ing
135	1	1	sud
136	2	1	den
137	3	1	ly
138	0	1	i
139	0	1	feel
140	1	1	al
141	3	1	right
142	0	1	and
143	0	1	its
144	1	1	gon
145	3	1	na
146	0	1	be
147	0	1	so
148	1	1	diff
149	3	1	rent
150	0	1	when
151	0	1	im
152	0	1	on
153	0	1	the
154	0	1	stage
155	1	1	to
157	3	1	night
160	1	1	to
161	3	1	night
162	0	1	the
163	1	1	sup
164	3	1	er
165	1	1	troup
166	3	1	er
167	0	1	lights
168	0	1	are
169	1	1	gon
170	3	1	na
171	0	1	find
173	0	1	me
174	1	1	shin
175	3	1	ing
176	0	1	like
177	0	1	the
178	0	1	sun
179	1	1	smil
180	3	1	ing
181	1	1	hav
182	3	1	ing
183	0	1	fun
184	1	1	feel
185	3	1	ing
186	0	1	like
187	0	1	a
188	1	1	num
190	3	1	ber
191	0	1	one
192	1	1	to
193	3	1	night
194	0	1	the
195	1	1	sup
196	3	1	er
197	1	1	troup
198	3	1	er
199	0	1	beams
200	0	1	are
201	1	1	gon
202	3	1	na
203	0	1	blind
205	0	1	me
206	0	1	but
207	0	1	i
208	0	1	wont
209	0	1	feel
210	0	1	blue
211	0	1	like
212	0	1	i
213	1	1	al
214	3	1	ways
215	0	1	do
216	0	1	cause
217	1	1	some
218	3	1	where
219	0	1	in
220	0	1	the
221	0	1	crowd
223	0	1	theres
224	1	2	fac
225	3	2	ing
226	1	2	twen
227	3	2	ty
228	1	2	thou
229	3	2	sand
230	0	2	of
231	0	2	your
232	0	2	friends
233	0	2	how
234	0	2	can
235	1	2	an
237	2	2	y
238	3	2	one
239	0	2	be
240	0	2	so
241	0	2	lone
243	0	2	ly
244	0	2	part
245	0	2	of
246	0	2	a
247	1	2	suc
248	3	2	cess
249	0	2	that
250	1	2	nev
251	3	2	er
252	0	2	ends
253	0	2	still
254	0	2	im
255	1	2	think
257	3	2	ing
258	1	2	a
259	3	2	bout
260	0	2	you
261	0	2	on
263	0	2	ly
264	0	2	there
265	0	2	are
266	1	2	mo
267	3	2	ments
268	0	2	when
269	0	2	i
270	0	2	think
271	0	2	im
272	1	2	go
273	3	2	ing
274	1	2	cra
275	3	2	zy
277	0	2	but
278	0	2	its
279	1	2	gon
280	3	2	na
281	0	2	be
282	1	2	al
283	3	2	right
284	1	2	ev
285	2	2	ry
286	3	2	thing
287	0	2	will
288	0	2	be
289	0	2	so
290	1	2	diff
291	3	2	rent
292	0	2	when
293	0	2	im
294	0	2	on
295	0	2	the
296	0	2	stage
297	1	2	to
299	3	2	night
359	1	1	some
360	3	1	where
361	0	1	in
362	0	1	the
363	0	1	crowd
365	0	1	theres
366	0	1	you
367	0	1	so
368	0	1	ill
369	0	1	be
370	0	1	there
371	0	1	when
372	0	1	you
373	1	1	ar
374	3	1	rive
375	0	1	the
376	0	1	sight
377	0	1	of
378	0	1	you
379	0	1	will
380	0	1	prove
381	0	1	to
382	0	1	me
383	0	1	im
384	0	1	still
385	1	1	a
386	3	1	live
387	0	1	and
388	0	1	when
389	0	1	you
390	0	1	take
391	0	1	me
392	0	1	in
393	0	1	your
394	0	1	arms
395	0	1	and
396	0	1	hold
397	0	1	me
398	0	1	tight
399	0	1	i
400	0	1	know
401	0	1	its
402	1	1	gon
403	3	1	na
404	0	1	mean
405	0	1	so
406	0	1	much
407	1	1	to
408	3	1	night
410	1	1	to
411	3	1	night
412	0	1	the
